node_one_1,node_one_2,node_two_1,node_two_2,length
1059,1168,1131,1216,72
1074,1499,1090,1369,130
1074,1499,1126,1595,98
1078,3101,1087,2980,121
1078,3101,1152,3130,74
1090,1369,1128,1327,43
1090,1848,1173,1854,83
1096,1080,1164,1105,68
1106,2805,1157,2741,64
1106,2805,1123,2928,123
1109,2377,1166,2294,83
1109,2377,1205,2486,112
1123,2928,1184,2962,61
1126,1595,1187,1685,97
1128,1327,1131,1216,111
1128,1327,1239,1380,111
1131,1216,1171,1191,40
1157,2741,1172,2598,143
1157,2741,1263,2776,106
1162,2546,1205,2486,60
1164,1105,1171,1191,86
1164,1105,1202,1074,38
1166,2294,1229,2270,63
1171,1191,1289,1251,118
1173,1854,1191,1791,63
1173,1854,1243,1916,75
1184,2962,1205,3029,67
1184,2962,1250,2946,66
1187,1685,1283,1642,96
1202,1074,1274,1057,72
1205,2486,1298,2529,93
1213,3116,1258,3118,45
1239,1380,1305,1344,66
1243,1916,1270,2018,102
1250,2946,1298,2867,79
1250,2946,1314,3058,113
1263,2776,1314,2728,51
1263,2776,1298,2867,91
1270,2018,1304,2053,35
1274,1057,1346,1088,72
1283,1642,1323,1665,40
1289,1251,1392,1202,103
1289,1251,1305,1344,93
1298,2529,1272,2641,112
1298,2529,1415,2503,117
1298,2867,1401,2917,103
1304,2053,1288,2114,61
1304,2053,1446,2057,142
1305,1344,1350,1362,45
1314,2728,1398,2702,84
1314,3058,1430,3038,116
1320,2253,1437,2379,129
1323,1665,1410,1604,87
1323,1665,1340,1744,79
1340,1744,1475,1841,143
1346,1088,1414,963,125
1346,1088,1392,1202,114
1392,1202,1473,1242,81
1397,1555,1528,1441,136
1397,1555,1410,1604,49
1408,819,1439,776,44
1408,819,1446,932,113
1410,1604,1501,1640,91
1414,963,1446,932,33
1415,2503,1437,2379,124
1415,2503,1512,2588,97
1430,3038,1455,2989,49
1430,3038,1520,3114,104
1437,2379,1528,2327,91
1439,776,1512,714,78
1446,932,1478,932,32
1446,2057,1482,1996,61
1446,2057,1507,2133,79
1455,2989,1598,2993,143
1469,2694,1512,2588,106
1469,2694,1539,2774,94
1473,1242,1541,1187,68
1473,1242,1475,1310,68
1475,1310,1528,1441,131
1475,1841,1447,1920,79
1475,1841,1548,1800,73
1478,932,1534,998,71
1482,1996,1628,1934,146
1507,2133,1485,2186,53
1507,2133,1620,2135,113
1512,2588,1632,2577,120
1528,1441,1643,1483,115
1528,2327,1541,2278,49
1528,2327,1612,2397,85
1534,998,1504,1114,116
1534,998,1580,993,46
1539,2774,1633,2664,115
1539,2774,1596,2868,103
1541,1187,1566,1186,25
1541,2278,1649,2203,110
1566,1186,1678,1081,116
1580,993,1619,891,102
1580,993,1678,1081,109
1596,2868,1623,2947,79
1596,2868,1706,2807,110
1598,2993,1623,2947,46
1598,2993,1628,3055,62
1612,2397,1740,2319,129
1612,2397,1654,2508,111
1619,891,1751,830,132
1620,2135,1710,2045,109
1620,2135,1649,2203,68
1623,2947,1750,2946,127
1627,660,1712,696,85
1628,3055,1773,3073,145
1632,2577,1654,2508,69
1632,2577,1646,2592,15
1643,1483,1684,1361,123
1643,1483,1678,1616,133
1646,2592,1714,2628,68
1649,2203,1734,2228,85
1654,2508,1768,2467,114
1678,1081,1766,1075,88
1678,1616,1693,1629,15
1678,1940,1735,1860,80
1678,1940,1710,2045,105
1684,1361,1796,1312,112
1693,1629,1758,1590,65
1693,1629,1755,1730,101
1706,2807,1701,2719,88
1706,2807,1812,2853,106
1707,529,1786,425,124
1707,529,1731,670,141
1710,2045,1817,2094,107
1712,696,1731,670,26
1712,696,1751,830,134
1714,1811,1755,1730,81
1714,1811,1735,1860,49
1714,2628,1818,2603,104
1735,1860,1873,1894,138
1751,830,1809,878,58
1755,1730,1847,1739,92
1766,1075,1785,959,116
1766,1075,1809,1162,88
1786,425,1799,351,74
1786,425,1881,513,100
1799,351,1888,331,89
1809,878,1881,840,72
1809,1162,1879,1208,70
1812,2853,1864,2802,54
1818,2603,1856,2476,127
1818,2603,1919,2699,109
1847,1739,1911,1636,103
1847,1739,1903,1863,124
1856,1573,1901,1488,85
1856,1573,1911,1636,64
1856,2476,1994,2354,147
1867,3059,1945,2968,109
1867,3059,1945,3132,82
1873,1894,1903,1863,32
1873,1894,1955,2040,146
1879,1208,2013,1074,147
1879,1208,1909,1259,51
1881,513,1980,450,111
1881,840,1889,820,20
1888,331,1931,256,75
1888,331,1980,450,124
1889,820,1951,751,70
1903,1863,2016,1904,113
1909,1259,2016,1363,126
1909,2116,1955,2040,78
1909,2116,1921,2203,87
1911,1636,2036,1580,130
1919,2699,1965,2710,46
1921,2203,1959,2248,46
1931,256,1937,253,6
1937,253,2038,325,106
1951,751,1981,751,30
1955,2040,2063,2005,108
1957,2273,1959,2248,25
1957,2273,1994,2354,81
1959,2248,2063,2145,127
1980,450,2012,447,32
1981,751,2032,663,88
1981,751,2055,827,87
1994,2354,2084,2388,90
1997,1024,2070,943,84
1997,1024,2013,1074,50
2012,447,2043,375,72
2012,447,2064,478,52
2013,1074,2162,1108,149
2016,1363,2130,1381,114
2032,663,2114,550,114
2043,375,2104,420,61
2055,827,2070,943,116
2055,827,2136,803,81
2059,1882,2064,1767,115
2059,1882,2123,1934,65
2064,478,2104,420,59
2064,478,2114,550,72
2070,943,2133,979,63
2084,2388,2154,2310,84
2084,2388,2120,2433,45
2100,2725,2154,2649,76
2100,2725,2109,2769,44
2112,2927,2175,2998,71
2114,550,2216,534,102
2123,1934,2261,1983,138
2130,1381,2170,1278,104
2130,1381,2196,1494,113
2133,1605,2195,1568,62
2136,803,2184,741,62
2136,803,2208,949,147
2154,2649,2270,2585,116
2162,1108,2174,1219,111
2162,1108,2311,1032,149
2170,1278,2265,1290,95
2175,2998,2321,2993,146
2195,1568,2196,1494,74
2195,1568,2280,1647,91
2208,949,2299,987,91
2216,534,2220,436,98
2216,534,2264,577,48
2220,436,2317,375,100
2261,1983,2343,1872,114
2261,1983,2270,2070,87
2264,577,2405,597,141
2270,2070,2304,2125,55
2280,1647,2402,1527,136
2280,1647,2321,1772,125
2299,987,2406,902,111
2299,987,2311,1032,45
2300,2290,2325,2326,36
2311,1032,2342,1046,31
2317,375,2363,323,58
2317,2573,2392,2456,117
2317,2573,2430,2687,132
2343,1872,2410,1901,67
2374,2970,2400,2879,91
2374,2970,2466,3016,92
2387,1469,2422,1364,105
2387,1469,2402,1527,58
2392,2456,2436,2455,44
2402,1527,2437,1544,35
2405,597,2474,555,69
2405,597,2435,709,112
2406,902,2452,815,88
2406,902,2555,983,149
2422,1364,2520,1236,136
2452,815,2501,820,49
2461,2853,2481,2768,85
2461,2853,2518,2928,76
2464,1144,2551,1076,89
2464,1144,2520,1236,92
2466,3016,2518,2928,88
2466,3016,2509,3046,43
2474,555,2480,508,47
2474,555,2613,622,139
2480,508,2535,399,109
2481,2768,2557,2761,76
2507,1913,2520,1967,54
2507,1913,2565,1876,58
2518,2928,2584,2918,66
2520,1236,2611,1240,91
2535,399,2619,347,91
2551,1076,2555,983,93
2551,1076,2652,1159,101
2551,2162,2639,2054,119
2551,2162,2599,2265,103
2555,983,2633,957,78
2556,1562,2585,1635,73
2556,1562,2601,1512,54
2557,2761,2600,2711,51
2565,1876,2575,1781,95
2565,1876,2618,1903,53
2599,2265,2622,2380,115
2599,2265,2719,2225,120
2600,2711,2574,2581,130
2600,2711,2671,2735,71
2601,1512,2649,1489,48
2611,1240,2652,1159,81
2611,1240,2652,1308,68
2613,622,2714,543,101
2613,622,2623,747,125
2618,1903,2704,1826,93
2618,1903,2626,2005,102
2618,2429,2644,2455,26
2623,747,2682,847,101
2632,2863,2765,2921,133
2633,957,2682,847,110
2633,957,2725,1008,92
2633,1353,2652,1308,45
2633,1353,2664,1437,84
2639,2054,2785,2060,146
2644,2455,2791,2490,147
2647,1733,2686,1750,39
2649,1489,2664,1437,52
2649,1489,2764,1577,116
2652,1159,2689,1145,37
2652,1308,2725,1290,73
2664,1437,2760,1434,96
2682,847,2742,867,60
2686,1750,2777,1671,93
2686,1750,2704,1826,76
2704,1826,2837,1877,133
2714,543,2779,554,65
2742,867,2818,946,85
2762,2722,2828,2637,86
2762,2722,2829,2849,128
2765,2921,2822,2883,57
2777,1671,2889,1741,112
2779,554,2846,438,121
2779,554,2832,598,53
2791,2490,2883,2411,95
2791,2490,2828,2637,148
2804,999,2818,946,53
2804,999,2867,1086,89
2818,946,2897,866,93
2821,776,2856,692,84
2821,776,2897,866,92
2822,2883,2829,2849,34
2822,2883,2914,2946,94
2823,2072,2865,1958,114
2823,2072,2836,2096,24
2828,2637,2889,2655,61
2832,598,2894,590,62
2832,598,2856,692,94
2836,2096,2884,2129,48
2837,1877,2889,1741,137
2837,1877,2865,1958,81
2855,1303,2891,1267,37
2855,1303,2970,1429,148
2856,692,2902,671,46
2865,1958,2960,2021,108
2867,1086,2920,1095,53
2883,2411,2918,2308,103
2883,2411,2974,2466,91
2884,2129,2937,2217,88
2889,1741,2964,1703,75
2891,1267,2954,1148,119
2891,1267,2976,1303,85
2894,590,2928,526,64
2894,590,2921,616,27
2897,866,2968,832,71
2920,1095,2963,1023,72
2920,1095,2954,1148,53
2921,616,3043,666,122
2928,526,3005,491,77
2937,2217,3032,2132,101
2944,1593,2997,1534,74
2944,1593,2964,1703,110
2954,1148,3081,1186,127
2964,1703,2989,1712,25
2968,832,3030,726,112
2968,832,3006,865,38
2970,1429,3019,1381,54
2982,2755,2987,2709,46
2982,2755,3004,2873,118
2987,2709,3077,2659,91
2989,1712,3073,1687,84
3004,2873,3154,2908,150
3006,865,3026,990,125
3006,865,3131,867,125
3019,1381,3065,1384,46
3026,990,3141,1102,127
3030,726,3043,666,60
3030,726,3097,761,67
3043,666,3157,616,114
3063,1847,3181,1753,129
3065,1384,3092,1312,72
3065,1384,3115,1477,93
3081,1186,3130,1163,49
3130,1163,3141,1102,61
3130,1163,3209,1208,79
3131,867,3241,809,111
3131,867,3188,970,103
3141,1102,3222,1045,87
3147,1691,3224,1603,88
3147,1691,3181,1753,63
3181,1753,3294,1700,115
3210,562,3299,645,101
3222,1045,3315,1068,93
3224,1603,3286,1608,62
3228,722,3299,645,80
3228,722,3241,809,87
3241,809,3304,836,63
3286,1608,3328,1550,58
3297,1232,3357,1148,84
3297,1232,3310,1277,45
3299,645,3405,674,106
3304,836,3326,910,74
3304,836,3359,791,55
3310,1277,3221,1376,115
3310,1277,3367,1332,63
3315,1068,3373,1012,64
3315,1068,3357,1148,80
3357,1148,3478,1144,121
3373,1012,3494,1034,121
3463,746,3516,885,143
3494,1034,3520,991,45
3516,885,3520,991,107
3494,1034,3513,1099,66
3478,1144,3513,1099,46
3328,1550,3387,1523,60
3406,1443,3387,1523,81
3406,1443,3367,1332,112
3328,1550,3267,1434,117
3221,1376,3267,1434,59
3463,746,3359,791,105
3373,1012,3326,910,103
3463,746,3405,674,79
3286,1608,3294,1700,93
3222,1045,3188,970,76
3297,1232,3209,1208,89
3224,1603,3115,1477,135
3081,1186,3092,1312,127
3210,562,3157,616,60
3228,722,3097,761,132
3077,2659,3185,2779,128
3194,2866,3185,2779,88
3194,2866,3154,2908,54
3147,1691,3073,1687,75
2970,1429,2997,1534,106
3063,1847,3058,1923,77
3060,2080,3069,2003,78
3069,2003,3058,1923,81
3060,2080,3032,2132,53
3210,562,3172,517,52
3091,495,3172,517,82
3091,495,3005,491,87
3026,990,2963,1023,65
3019,1381,2976,1303,79
3077,2659,3094,2595,65
3083,2508,3094,2595,88
3083,2508,2974,2466,110
2937,2217,2918,2308,92
2884,2129,2960,2021,124
2921,616,2902,671,56
2987,2709,2889,2655,99
3004,2873,2914,2946,97
2928,526,2846,438,111
2944,1593,2869,1510,89
2760,1434,2869,1510,110
2855,1303,2725,1290,131
2867,1086,2806,1140,66
2806,1140,2689,1145,118
2777,1671,2764,1577,95
2823,2072,2785,2060,39
2804,999,2725,1008,80
2639,2054,2626,2005,50
2762,2722,2671,2735,92
2644,2455,2574,2581,127
2836,2096,2719,2225,135
2618,2429,2622,2380,50
2647,1733,2575,1781,74
2647,1733,2585,1635,99
2714,543,2710,434,110
2699,370,2716,390,21
2716,390,2710,434,45
2699,370,2619,347,81
2632,2863,2584,2918,63
2551,2162,2527,2128,38
2527,2128,2516,1998,131
2520,1967,2516,1998,32
2765,2921,2734,3002,82
2650,3091,2734,3002,96
2650,3091,2509,3046,142
2623,747,2552,762,72
2501,820,2552,762,65
2452,815,2434,772,44
2434,772,2435,709,64
2556,1562,2437,1544,120
2618,2429,2574,2429,45
2574,2429,2436,2455,139
2461,2853,2400,2879,62
2507,1913,2410,1901,98
2481,2768,2430,2687,82
2535,399,2461,327,99
2461,327,2363,323,99
2464,1144,2342,1046,125
2392,2456,2325,2326,131
2343,1872,2321,1772,101
2300,2290,2293,2182,109
2304,2125,2293,2182,58
2374,2970,2321,2993,54
2422,1364,2326,1327,97
2265,1290,2326,1327,62
2170,1278,2174,1219,60
2317,2573,2270,2585,48
2264,577,2202,688,112
2184,741,2202,688,54
2112,2927,2109,2904,24
2109,2769,2109,2904,136
2154,2649,2114,2567,83
2120,2433,2114,2567,135
2300,2290,2154,2310,147
2208,949,2133,979,76
2133,1605,2132,1696,92
2064,1767,2132,1696,86
2270,2070,2173,2091,98
2063,2145,2173,2091,111
2123,1934,2063,2005,81
2043,375,2038,325,51
2100,2725,1965,2710,136
2133,1605,2036,1580,98
2059,1882,2016,1904,44
2175,2998,2105,3095,98
1991,3132,2105,3095,115
1991,3132,1945,3132,47
2112,2927,1989,2952,124
1945,2968,1989,2952,45
2016,1363,1901,1488,142
1919,2699,1864,2802,104
1809,878,1785,959,82
1909,2116,1817,2094,93
1714,2628,1701,2719,92
1856,1573,1758,1590,99
1909,1259,1862,1308,53
1862,1308,1796,1312,67
1856,2476,1768,2467,89
1921,2203,1807,2224,115
1734,2228,1807,2224,74
1867,3059,1773,3073,95
1812,2853,1793,2918,66
1750,2946,1793,2918,44
1957,2273,1855,2330,104
1740,2319,1855,2330,116
1646,2592,1633,2664,73
1541,1187,1504,1114,74
1541,2278,1485,2186,93
1678,1940,1628,1934,51
1714,1811,1677,1798,38
1548,1800,1677,1798,130
1482,1996,1447,1920,77
1627,660,1512,714,116
1628,3055,1520,3114,113
1678,1616,1633,1629,46
1501,1640,1633,1629,133
1469,2694,1398,2702,72
1475,1310,1350,1362,126
1320,2253,1288,2114,140
1455,2989,1401,2917,75
1314,2728,1272,2641,88
1314,3058,1258,3118,67
1213,3116,1205,3029,88
1187,1685,1191,1791,107
1320,2253,1229,2270,92
1162,2546,1172,2598,53
1213,3116,1152,3130,62
1123,2928,1087,2980,54
1270,2018,1127,2085,146
1090,1848,1037,1903,58
967,2043,1037,1903,144
1162,2546,1080,2526,83
1010,1768,919,1676,107
1109,2377,1019,2353,91
948,2373,1019,2353,72
1043,2783,904,2864,140
911,1836,903,1903,68
833,2056,853,1989,68
903,1903,853,1989,87
962,2572,930,2520,53
1078,3101,965,3104,114
965,3104,907,3055,61
957,2582,841,2656,120
742,2167,690,2225,66
742,2167,723,2103,65
648,1891,728,1987,103
728,1987,723,2103,117
673,1808,647,1757,52
683,1479,633,1592,114
667,2545,668,2499,47
528,2893,493,2826,68
493,2826,508,2725,102
782,3008,717,3065,68
625,3076,717,3065,93
625,3076,556,3044,71
572,2365,528,2288,78
487,2958,419,2946,69
409,2565,347,2634,85
347,2634,347,2718,85
404,2820,347,2718,103
538,2422,497,2425,42
418,2244,376,2163,82
331,2173,376,2163,46
331,2173,280,2219,55
369,2894,256,2823,119
256,2823,229,2765,59
194,2630,229,2765,136
254,2509,186,2398,112
138,2398,186,2398,49
138,2398,124,2486,89
