node_one_1,node_one_2,node_two_1,node_two_2,length
653,1779,778,1757,125
676,1469,766,1492,90
679,1101,792,971,145
679,1101,720,1191,90
682,1665,775,1676,93
690,2098,742,2037,62
690,2098,700,2156,58
717,614,790,546,81
717,614,736,653,39
720,1191,709,1225,34
720,1191,837,1193,117
734,2495,758,2457,39
734,2495,758,2582,87
735,2336,771,2293,43
736,653,811,672,75
742,2037,889,2066,147
747,1365,792,1387,45
758,2582,863,2591,105
766,1492,803,1428,64
766,1492,830,1597,105
771,2293,866,2276,95
775,1676,830,1597,79
775,1676,778,1757,81
792,971,833,823,148
792,971,895,1061,104
792,1387,843,1341,52
811,672,887,560,121
811,672,825,718,46
830,1597,962,1581,132
833,823,949,845,116
837,1193,923,1122,86
837,1193,843,1341,148
843,1341,914,1381,71
863,2591,955,2525,99
866,2276,902,2215,61
866,2276,978,2394,139
887,560,933,526,46
889,2066,921,1943,123
889,2066,902,2215,150
896,1414,914,1381,33
902,2215,1005,2199,103
914,1381,953,1373,39
923,1122,1002,1141,79
933,526,947,448,78
933,526,1054,525,121
953,1373,1014,1269,104
953,1373,1072,1461,126
955,2525,978,2394,131
955,2525,992,2600,76
960,1881,982,1879,22
962,1581,1072,1461,126
962,1581,1015,1670,89
978,2394,1040,2350,62
982,1879,1036,1803,76
982,1879,1065,1976,99
1002,1141,1025,1099,42
1002,1141,1041,1203,62
1005,2199,1000,2088,111
1005,2199,1036,2265,66
1015,1670,1036,1803,133
1015,1670,1119,1649,104
1036,1803,1164,1806,128
1039,990,1188,1059,150
1040,2350,1114,2380,74
1041,1203,1110,1217,69
1065,1976,1196,2000,131
1072,1461,1180,1460,108
1100,446,1166,432,66
1114,2380,1203,2316,89
1114,2380,1205,2507,133
1119,1649,1199,1578,89
1119,1649,1226,1718,113
1180,1460,1222,1409,51
1180,1460,1199,1578,118
1199,1578,1250,1617,51
1203,2316,1236,2198,121
1203,2316,1288,2343,85
1205,2507,1310,2407,115
1213,1292,1247,1257,35
1220,1800,1226,1718,82
1220,1800,1287,1866,69
1226,1718,1240,1704,14
1236,2198,1255,2124,74
1236,2198,1327,2271,91
1240,1704,1250,1617,87
1240,1704,1352,1738,112
1247,1257,1324,1250,77
1250,1617,1358,1547,108
1263,1987,1287,1866,121
1263,1987,1302,2019,39
1276,472,1325,412,61
1276,472,1300,507,35
1287,1866,1362,1850,75
1288,2343,1327,2271,72
1288,2343,1310,2407,65
1302,2019,1412,1940,114
1310,2407,1396,2432,86
1324,1250,1410,1153,98
1324,1250,1370,1325,75
1327,2271,1445,2207,118
1358,1547,1364,1462,85
1358,1547,1440,1598,82
1410,1153,1347,1043,110
1410,1153,1457,1148,47
1412,1412,1483,1449,71
1412,1940,1540,1933,128
1423,624,1413,691,67
1423,624,1504,553,90
1440,734,1530,740,90
1445,2207,1469,2086,121
1445,2207,1502,2227,57
1480,1699,1485,1703,5
1485,1703,1528,1813,110
1485,1703,1567,1678,82
1502,2227,1552,2183,54
1502,2227,1530,2282,55
1504,553,1653,569,149
1511,2402,1525,2416,14
1525,2416,1613,2551,135
1525,2416,1584,2389,59
1540,1933,1548,1941,8
1548,1941,1554,2062,121
1548,1941,1632,1936,84
1552,2183,1579,2086,97
1552,2183,1699,2254,147
1554,2062,1579,2086,25
1579,2086,1689,2039,110
1602,798,1686,703,106
1602,798,1598,857,59
1613,2551,1599,2608,57
1613,2551,1736,2600,123
1631,1462,1680,1382,80
1631,1462,1664,1568,106
1632,1936,1683,1890,54
1632,1936,1689,2039,103
1643,983,1718,1011,75
1645,1619,1664,1568,51
1645,1619,1750,1766,148
1664,1568,1813,1586,149
1689,2039,1730,2055,41
1697,2361,1699,2254,107
1697,2361,1747,2502,141
1699,2254,1756,2197,62
1711,597,1831,524,120
1718,1011,1835,927,122
1718,1011,1745,1126,115
1736,2600,1791,2544,70
1750,1766,1864,1775,114
1764,1344,1797,1247,97
1764,1344,1871,1443,113
1768,1165,1797,1247,82
1768,1165,1876,1144,108
1791,2544,1864,2464,84
1797,1247,1883,1224,86
1813,1586,1819,1615,29
1813,1586,1892,1484,103
1824,2203,1848,2153,50
1824,2203,1853,2278,76
1835,927,1891,864,64
1835,927,1867,990,64
1848,2153,1945,2094,97
1864,1775,1896,1797,32
1876,1144,1883,1224,80
1883,1224,1981,1284,98
1892,1484,1996,1453,104
1896,1797,1873,1903,106
1896,1797,1999,1809,103
1924,2332,1943,2422,90
1924,2332,2069,2256,145
1943,2422,2003,2492,75
1945,2094,2022,2126,77
1956,771,1939,667,104
1956,771,2043,787,87
1981,1284,2091,1238,110
1981,1284,2005,1397,113
1996,1453,2073,1526,83
2014,613,2086,705,96
2022,2126,2119,2030,104
2022,2126,2079,2206,81
2043,787,2086,705,82
2043,787,2141,877,114
2062,2500,2099,2448,52
2062,2500,2111,2564,64
2069,2256,2079,2206,50
2069,2256,2130,2346,90
2079,2206,2220,2185,141
2086,705,2187,708,101
2091,1238,2132,1127,111
2091,1238,2147,1344,106
2099,2448,2165,2495,66
2111,2564,2119,2619,55
2111,2564,2165,2495,72
2112,1957,2201,1909,89
2112,1957,2119,2030,73
2119,2030,2229,2100,110
2165,2495,2247,2492,82
2166,1493,2204,1517,38
2199,966,2316,1033,117
2201,1909,2198,1788,121
2201,1909,2287,1959,86
2204,1517,2299,1468,95
2204,1517,2271,1656,144
2220,2185,2229,2100,85
2220,2185,2255,2256,71
2229,2100,2299,2041,71
2247,2492,2346,2355,146
2247,2492,2278,2544,52
2254,1752,2271,1656,96
2254,1752,2331,1881,129
2271,1656,2378,1591,109
2278,2544,2414,2517,138
2287,1959,2299,2041,82
2299,1468,2290,1356,112
2299,1468,2378,1591,123
2299,2041,2394,2068,95
2316,1033,2305,1116,83
2316,1033,2435,1029,119
2346,2355,2399,2391,53
2378,1591,2408,1592,30
2394,2068,2453,1968,108
2394,2068,2494,2112,101
2399,2391,2414,2517,126
2399,2391,2508,2352,109
2401,786,2502,697,121
2401,786,2475,857,80
2404,1259,2520,1265,116
2408,1592,2466,1541,59
2408,1592,2503,1683,101
2414,2517,2558,2476,144
2475,857,2546,766,96
2475,857,2504,971,114
2502,697,2568,611,89
2504,971,2587,1041,85
2520,1265,2561,1178,87
2520,1265,2595,1377,113
2558,2476,2637,2525,79
2576,2006,2617,1925,81
2576,2006,2599,2073,67
2584,1519,2645,1627,109
2587,1041,2639,1018,52
2599,2073,2654,2112,57
2617,1925,2698,1914,81
2698,1914,2714,1898,16
2698,1914,2717,1975,61
2698,2221,2643,2326,106
2698,2221,2827,2205,129
2702,677,2715,676,13
2714,1898,2719,1778,120
2714,1898,2789,1900,75
2715,676,2790,550,126
2715,676,2818,775,113
2719,1778,2789,1757,70
2731,2472,2826,2493,95
2790,550,2800,474,76
2790,550,2937,570,147
2803,2099,2827,2205,106
2803,2099,2904,2066,101
2827,2205,2889,2290,85
2865,863,2922,883,57
2886,2371,2889,2290,81
2886,2371,2974,2396,88
2889,2290,3015,2233,128
2922,883,3010,736,149
2922,883,2973,953,73
3010,736,3127,760,117
3015,2233,3025,2150,83
3015,2233,3086,2277,71
3025,2150,3128,2098,103
3036,463,3134,396,100
3036,463,3109,603,140
3041,966,3145,850,123
3041,966,3149,1072,116
3059,2353,3086,2277,76
3059,2353,3167,2394,108
3114,1729,3104,1644,85
3114,1729,3191,1822,108
3127,760,3177,671,89
3127,760,3145,850,90
3128,2098,3138,2010,88
3128,2098,3172,2135,44
3138,2010,3186,1980,48
3145,850,3217,875,72
3149,1072,3186,1157,85
3149,1072,3257,997,111
3167,2394,3287,2319,121
3167,2394,3245,2479,100
3169,1525,3136,1435,90
3169,1525,3198,1536,29
3172,2135,3293,2122,121
3177,671,3244,648,67
3186,1157,3136,1282,125
3186,1157,3255,1153,69
3186,1980,3191,1936,44
3186,1980,3288,2028,102
3201,1364,3293,1436,93
3217,875,3291,784,91
3217,875,3257,997,122
3243,1859,3313,1753,106
3243,1859,3250,1889,30
3244,648,3281,562,86
3250,1889,3330,1940,80
3257,486,3281,562,76
3257,486,3354,430,97
3257,997,3354,985,97
3281,562,3357,557,76
3293,2122,3316,2098,25
3293,2122,3354,2227,105
3315,2454,3351,2354,100
3315,2454,3461,2481,146
3316,2098,3430,2093,114
3317,2309,3351,2354,45
3351,2354,3428,2344,77
3354,985,3380,922,63
3354,985,3490,1102,137
3406,1250,3488,1169,95
3406,1250,3441,1320,70
3416,1915,3461,1837,78
3416,1915,3482,2024,109
3421,1715,3452,1580,135
3421,1715,3461,1837,123
3428,2344,3445,2236,108
3428,2344,3492,2403,68
3430,2093,3482,2024,70
3430,2093,3472,2191,98
3434,595,3434,660,65
3434,595,3529,548,95
3452,1580,3527,1544,75
3461,1837,3547,1859,86
3461,2481,3492,2403,78
3461,2481,3542,2484,81
3463,861,3451,798,63
3463,861,3601,890,138
3472,2191,3566,2250,94
3482,2024,3592,2050,110
3486,730,3540,719,54
3488,330,3451,231,99
3488,330,3576,303,88
3488,1169,3490,1102,67
3488,1169,3593,1226,105
3490,1102,3630,1025,140
3492,2403,3537,2389,45
3527,1544,3596,1570,69
3529,548,3556,474,74
3529,548,3644,662,135
3537,2389,3566,2250,139
3566,2250,3667,2173,113
3576,303,3648,352,72
3592,2050,3711,1941,125
3592,2050,3667,2173,123
3593,1226,3711,1205,118
3593,1226,3667,1304,101
3596,1570,3727,1508,131
3596,1570,3612,1648,78
3601,1816,3715,1908,138
3613,756,3656,713,46
3613,756,3653,815,60
3640,865,3653,815,50
3640,865,3704,910,64
3644,662,3697,629,53
3644,662,3656,713,51
3648,352,3759,308,111
3653,815,3715,762,67
3656,713,3715,762,63
3667,2173,3797,2147,130
3711,1205,3740,1156,49
3711,1205,3733,1247,42
3711,1941,3715,1908,33
3715,762,3792,734,77
3715,1908,3831,1858,116
3727,1508,3754,1467,41
3727,1508,3761,1560,53
3740,1156,3852,1117,112
3754,1467,3863,1422,109
3759,308,3785,251,57
3759,308,3856,393,119
3761,1560,3731,1626,66
3761,1560,3836,1619,81
3770,1679,3780,1776,97
3770,1679,3836,1619,69
3831,1858,3832,1821,37
3831,1858,3864,1883,33
3832,1821,3919,1753,88
3836,1619,3878,1635,42
3845,751,3923,897,146
3845,751,3897,716,52
3852,1117,3900,979,138
3852,1117,3928,1204,98
3856,393,3933,304,90
3856,393,3885,490,97
3857,1296,3932,1254,75
3857,1296,3863,1422,126
3863,1422,3934,1469,71
3864,1883,3920,1962,94
3864,1883,3958,1876,94
3877,600,3916,563,40
3877,600,3897,716,116
3878,1635,3931,1559,76
3878,1635,3923,1699,64
3897,716,3961,739,64
3900,979,3903,976,4
3903,976,3923,897,79
3903,976,4024,1009,121
3916,563,4001,584,85
3919,1753,3923,1699,54
3919,1753,3988,1799,69
3923,897,4008,855,85
3923,1699,4017,1621,105
3928,1204,3932,1254,50
3928,1204,4003,1150,76
3932,1254,4002,1309,72
3933,304,4057,330,124
3934,1469,4020,1416,86
3958,1876,3988,1799,77
3961,739,4070,659,113
3961,739,4008,855,116
3988,1799,4107,1816,119
4008,855,4034,864,26
4020,1416,4089,1434,69
4070,659,4101,659,31
4073,1166,4091,1260,94
4073,1166,4149,1107,82
4101,659,4148,619,48
4101,659,4196,771,126
4130,1592,4162,1504,88
4130,1592,4154,1641,49
4156,1783,4231,1788,75
4162,1504,4176,1498,14
4171,862,4196,771,91
4171,862,4228,932,71
4176,1498,4225,1385,113
4176,1498,4257,1558,83
4196,771,4296,739,100
4228,932,4263,932,35
4256,1328,4297,1328,41
4257,1120,4311,1017,103
4257,1120,4350,1209,112
4257,1558,4253,1608,50
4257,1558,4335,1536,78
4273,589,4283,595,10
4297,1328,4353,1279,56
4297,1328,4367,1449,121
4318,1684,4374,1607,83
4353,1279,4388,1287,35
4335,1536,4374,1607,73
4335,1536,4367,1449,88
4318,1684,4253,1608,77
4353,1279,4350,1209,71
4263,932,4311,1017,86
4263,932,4336,847,90
4344,774,4336,847,74
4344,774,4296,739,59
4256,1328,4225,1385,58
4318,1684,4231,1788,108
4156,1783,4154,1641,143
4273,589,4148,619,126
4257,1120,4149,1107,109
4256,1328,4196,1292,61
4091,1260,4196,1292,106
4162,1504,4089,1434,76
4171,862,4034,864,138
4156,1783,4107,1816,50
4273,589,4267,524,66
4240,258,4280,364,107
4280,364,4279,466,103
4267,524,4279,466,59
4240,258,4169,248,72
4057,330,4169,248,119
4020,1416,4002,1309,108
4073,1166,4003,1150,71
4130,1592,4017,1621,114
4070,659,4001,584,83
4228,932,4162,989,69
4024,1009,4162,989,139
3934,1469,3931,1559,91
3958,1876,3962,1940,65
3920,1962,3962,1940,44
3916,563,3885,490,74
3832,1821,3780,1776,56
3933,304,3914,230,75
3868,215,3785,251,84
3845,751,3792,734,54
3857,1296,3733,1247,125
3711,1941,3788,2011,84
3819,2117,3788,2011,107
3819,2117,3797,2147,34
3877,600,3814,592,64
3814,592,3697,629,118
3900,979,3776,896,126
3776,896,3704,910,73
3601,1816,3591,1767,50
3612,1648,3591,1767,120
3754,1467,3677,1371,99
3667,1304,3677,1371,68
3648,352,3642,435,84
3642,435,3556,474,87
3740,1156,3630,1025,137
3576,303,3575,207,97
3575,207,3534,170,42
3477,181,3451,231,55
3613,756,3540,719,74
3640,865,3601,890,40
3486,730,3451,798,69
3601,1816,3547,1859,55
3486,730,3434,660,72
3472,2191,3445,2236,46
3527,1544,3525,1407,138
3525,1407,3441,1320,100
3463,861,3380,922,84
3317,2309,3354,2227,83
3434,595,3357,557,78
3488,330,3418,418,90
3418,418,3354,430,65
3416,1915,3330,1940,87
3421,1715,3313,1753,109
3244,648,3286,697,51
3452,1580,3378,1434,147
3378,1434,3293,1436,86
3316,2098,3288,2028,71
3250,1889,3191,1936,60
3406,1250,3315,1227,92
3255,1153,3315,1227,86
3201,1364,3136,1282,90
3201,1364,3136,1435,77
3315,2454,3245,2479,73
3317,2309,3287,2319,31
3243,1859,3191,1822,53
3169,1525,3111,1573,64
3111,1573,3104,1644,72
3177,671,3109,603,82
3257,486,3134,396,131
3041,966,2973,953,69
3059,2353,2974,2396,86
3025,2150,2904,2066,127
3010,736,2968,609,128
3036,463,2913,407,125
2913,407,2800,474,114
2886,2371,2826,2493,123
3114,1729,3002,1766,113
2871,1718,3002,1766,132
2871,1718,2789,1757,83
2865,863,2818,775,89
3138,2010,3030,1917,119
2949,1882,3030,1917,82
2949,1882,2873,1919,77
2873,1919,2789,1900,85
2731,2472,2651,2360,117
2643,2326,2651,2360,35
2803,2099,2717,1975,125
2698,2221,2654,2112,110
2865,863,2811,916,60
2811,916,2751,946,61
2639,1018,2751,946,113
2719,1778,2663,1718,62
2663,1718,2645,1627,92
2731,2472,2637,2525,95
2702,677,2615,746,89
2584,1519,2595,1377,143
2587,1041,2561,1178,138
2702,677,2568,611,135
2617,1925,2564,1865,61
2503,1683,2564,1784,103
2564,1865,2564,1784,82
2584,1519,2466,1541,119
2558,2476,2508,2352,128
2599,2073,2494,2112,106
2576,2006,2453,1968,124
2504,971,2435,1029,71
2404,1259,2385,1195,65
2305,1116,2385,1195,89
2404,1259,2290,1356,118
2287,1959,2331,1881,82
2346,2355,2330,2284,72
2330,2284,2255,2256,76
2254,1752,2198,1788,61
2278,2544,2207,2644,112
2166,1493,2147,1344,150
2199,966,2174,1078,113
2174,1078,2132,1127,51
2401,786,2344,783,58
2187,708,2281,747,95
2344,783,2281,747,64
2099,2448,2130,2346,103
2199,966,2141,877,90
2166,1493,2073,1526,94
1996,1453,2005,1397,57
2014,613,1939,667,81
2062,2500,2003,2492,60
2112,1957,2054,1906,63
1999,1809,2054,1906,99
1945,2094,1934,2026,69
1873,1903,1934,2026,124
1876,1144,1901,1108,38
1901,1108,1867,990,119
1956,771,1891,864,94
1924,2332,1853,2278,73
1864,1775,1862,1743,33
1862,1743,1819,1615,129
1943,2422,1864,2464,80
1892,1484,1871,1443,42
1768,1165,1745,1126,40
2014,613,2019,523,91
1958,482,2019,523,63
1958,482,1831,524,128
1824,2203,1756,2197,69
1791,2544,1747,2502,47
1848,2153,1730,2055,126
1750,1766,1683,1890,125
1764,1344,1680,1382,85
1736,2600,1697,2640,49
1643,983,1598,857,127
1711,597,1686,703,107
1711,597,1653,569,59
1511,2402,1530,2282,121
1645,1619,1567,1678,81
1540,1933,1528,1813,121
1554,2062,1469,2086,86
1602,798,1530,740,76
1440,734,1413,691,44
1631,1462,1483,1449,149
1643,983,1580,1074,92
1580,1074,1457,1148,124
1440,734,1347,881,148
1341,906,1347,881,26
1341,906,1347,1043,138
1480,1699,1440,1598,102
1412,1412,1364,1462,58
1412,1412,1370,1325,88
1511,2402,1396,2432,116
1412,1940,1362,1850,93
1423,624,1300,507,128
1504,553,1465,471,83
1382,398,1465,471,88
1382,398,1325,412,58
1480,1699,1352,1738,129
1302,2019,1255,2124,106
1213,1292,1222,1409,118
1276,472,1166,432,111
1263,1987,1196,2000,68
1213,1292,1110,1217,108
1247,1257,1216,1191,67
1188,1059,1216,1191,133
1220,1800,1164,1806,57
1040,2350,1036,2265,86
1065,1976,1000,2088,114
1039,990,1025,1099,110
1205,2507,1183,2604,98
1142,2654,1183,2604,56
1142,2654,1082,2648,61
1041,1203,1014,1269,67
1100,446,1054,525,84
1100,446,1010,382,96
1010,382,947,448,73
960,1881,921,1943,63
1039,990,949,845,147
833,823,825,718,106
923,1122,895,1061,62
960,1881,934,1857,27
792,1387,803,1428,42
735,2336,758,2457,122
747,1365,709,1225,141
887,560,790,546,98
771,2293,700,2156,138
742,2037,721,1995,43
736,653,672,721,81
600,1109,560,1240,132
652,1422,550,1400,103
734,2495,589,2469,146
521,1021,501,948,74
501,948,493,849,100
624,1562,519,1575,106
569,1835,503,1717,119
758,2582,634,2640,126
532,2657,634,2640,103
595,2311,556,2357,50
411,1575,430,1437,139
614,563,607,484,80
468,2213,423,2261,51
486,1969,396,1987,91
360,2375,286,2318,75
296,2543,225,2496,88
225,2496,220,2452,45
450,2157,380,2123,71
380,2123,266,2152,115
225,2338,199,2296,43
195,2184,199,2296,113
368,498,295,514,74
295,514,251,579,66
361,1747,302,1714,60
280,1563,188,1652,103
235,1440,184,1433,52
153,1389,184,1433,45
251,1858,160,1950,117
204,1272,95,1155,132
127,975,71,940,58
176,718,170,777,60
176,718,105,688,72
50,713,105,688,60
50,713,60,798,86
